#            1 - s            2 - Rx            3 - Ry            4 - Rz            5 - Px            6 - Py            7 - Pz           8 - Efx           9 - Efy          10 - Efz          11 - Bfx          12 - Bfy          13 - Bfz         14 - Ekin            15 - t
       0.077576646                 0                 0       0.077576646                 0                 0         2.2559908                 0                 0        -39870.244                 0                 0       0.001499746        0.74998808           0.34025	SOL1, GUN, COL, 
       0.080317404                 0                 0       0.080317404                 0                 0         2.2561817                 0                 0        -25571.719                 0                 0       0.001608374         0.7500773           0.35025	SOL1, GUN, COL, 
       0.083058193                 0                 0       0.083058193                 0                 0         2.2563042                 0                 0        -16396.932                 0                 0      0.0017243142        0.75013452           0.36025	SOL1, GUN, COL, 
       0.085799002                 0                 0       0.085799002                 0                 0         2.2563827                 0                 0        -10511.631                 0                 0      0.0018481895        0.75017121           0.37025	SOL1, GUN, COL, 
       0.088539823                 0                 0       0.088539823                 0                 0         2.2564331                 0                 0        -6737.3923                 0                 0      0.0019806682        0.75019472           0.38025	SOL1, GUN, COL, 
       0.091280652                 0                 0       0.091280652                 0                 0         2.2564653                 0                 0        -4317.5235                 0                 0      0.0021224685        0.75020979           0.39025	SOL1, GUN, COL, 
       0.094021487                 0                 0       0.094021487                 0                 0          2.256486                 0                 0        -2766.3008                 0                 0      0.0022743585        0.75021945           0.40025	SOL1, GUN, COL, 
       0.096762324                 0                 0       0.096762324                 0                 0         2.2564992                 0                 0        -1772.0813                 0                 0      0.0024371928        0.75022564           0.41025	SOL1, GUN, COL, 
       0.099503164                 0                 0       0.099503164                 0                 0         2.2565077                 0                 0        -1134.9922                 0                 0      0.0026118754         0.7502296           0.42025	SOL1, GUN, COL, 
          0.102244                 0                 0          0.102244                 0                 0         2.2565132                 0                 0        -726.81444                 0                 0      0.0027994351        0.75023214           0.43025	SOL1, GUN, COL, 
        0.10498485                 0                 0        0.10498485                 0                 0         2.2565166                 0                 0        -465.34545                 0                 0      0.0030009453        0.75023377           0.44025	SOL1, GUN, COL, 
        0.10772569                 0                 0        0.10772569                 0                 0         2.2565189                 0                 0        -297.88392                 0                 0      0.0032175903        0.75023481           0.45025	SOL1, GUN, COL, 
        0.11046653                 0                 0        0.11046653                 0                 0         2.2565203                 0                 0        -190.65044                 0                 0      0.0034506057        0.75023547           0.46025	SOL1, GUN, COL, 
        0.11320737                 0                 0        0.11320737                 0                 0         2.2565212                 0                 0        -121.99656                 0                 0      0.0037013662         0.7502359           0.47025	SOL1, GUN, COL, 
        0.11594822                 0                 0        0.11594822                 0                 0         2.2565218                 0                 0        -78.050477                 0                 0      0.0039713346        0.75023617           0.48025	SOL1, GUN, COL, 
        0.11868906                 0                 0        0.11868906                 0                 0         2.2565222                 0                 0        -49.925072                 0                 0      0.0042621474        0.75023635           0.49025	SOL1, GUN, COL, 
         0.1214299                 0                 0         0.1214299                 0                 0         2.2565224                 0                 0        -31.928297                 0                 0       0.004575606        0.75023646           0.50025	SOL1, GUN, COL, 
        0.12417075                 0                 0        0.12417075                 0                 0         2.2565226                 0                 0        -20.414929                 0                 0      0.0049135487        0.75023653           0.51025	SOL1, GUN, COL, 
        0.12691159                 0                 0        0.12691159                 0                 0         2.2565227                 0                 0        -13.050652                 0                 0      0.0052778616        0.75023657           0.52025	SOL1, GUN, COL, 
        0.12965243                 0                 0        0.12965243                 0                 0         2.2565227                 0                 0        -8.3411522                 0                 0      0.0056706097         0.7502366           0.53025	SOL1, GUN, COL, 
        0.13239328                 0                 0        0.13239328                 0                 0         2.2565228                 0                 0        -5.3300247                 0                 0      0.0060943228        0.75023662           0.54025	SOL1, GUN, COL, 
        0.13513412                 0                 0        0.13513412                 0                 0         2.2565228                 0                 0        -3.4051879                 0                 0      0.0065516102        0.75023663           0.55025	SOL1, GUN, COL, 
        0.13787496                 0                 0        0.13787496                 0                 0         2.2565228                 0                 0        -2.1749945                 0                 0      0.0070450975        0.75023664           0.56025	SOL1, GUN, COL, 
        0.14061581                 0                 0        0.14061581                 0                 0         2.2565228                 0                 0        -1.3889257                 0                 0       0.007577458        0.75023665           0.57025	SOL1, GUN, COL, 
        0.14335665                 0                 0        0.14335665                 0                 0         2.2565228                 0                 0        -0.8867545                 0                 0      0.0081517233        0.75023665           0.58025	SOL1, GUN, COL, 
        0.14609749                 0                 0        0.14609749                 0                 0         2.2565228                 0                 0       -0.56601614                 0                 0       0.008771114        0.75023665           0.59025	SOL1, GUN, COL, 
        0.14883834                 0                 0        0.14883834                 0                 0         2.2565228                 0                 0        -0.3612034                 0                 0      0.0094390211        0.75023665           0.60025	SOL1, GUN, COL, 
        0.15157918                 0                 0        0.15157918                 0                 0         2.2565228                 0                 0       -0.23044713                 0                 0       0.010158978        0.75023665           0.61025	SOL1, GUN, COL, 
        0.15432002                 0                 0        0.15432002                 0                 0         2.2565228                 0                 0       -0.14698945                 0                 0       0.010934603        0.75023665           0.62025	SOL1, GUN, COL, 
        0.15706087                 0                 0        0.15706087                 0                 0         2.2565228                 0                 0      -0.093733302                 0                 0        0.01176963        0.75023665           0.63025	SOL1, GUN, COL, 
        0.15980171                 0                 0        0.15980171                 0                 0         2.2565228                 0                 0      -0.059757352                 0                 0       0.012667894        0.75023665           0.64025	SOL1, GUN, COL, 
        0.16254255                 0                 0        0.16254255                 0                 0         2.2565228                 0                 0      -0.038087062                 0                 0        0.01363345        0.75023665           0.65025	SOL1, GUN, COL, 
         0.1652834                 0                 0         0.1652834                 0                 0         2.2565228                 0                 0      -0.024268979                 0                 0       0.014670264        0.75023665           0.66025	SOL1, GUN, COL, 
        0.16802424                 0                 0        0.16802424                 0                 0         2.2565228                 0                 0       -0.01546016                 0                 0       0.015781844        0.75023665           0.67025	SOL1, GUN, COL, 
        0.17076508                 0                 0        0.17076508                 0                 0         2.2565228                 0                 0     -0.0098462155                 0                 0       0.016971533        0.75023665           0.68025	SOL1, GUN, COL, 
        0.17350593                 0                 0        0.17350593                 0                 0         2.2565228                 0                 0     -0.0062695396                 0                 0       0.018242324        0.75023665           0.69025	SOL1, GUN, COL, 
